"Part";"Value";"Device";"Package";"Description";"";
"AUDIO";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"B1";"";"B-EU_B0805";"L0805";"EMI Filter";"";
"B2";"";"B-EU_B0805";"L0805";"EMI Filter";"";
"B3";"";"B-EU_B0805";"L0805";"EMI Filter";"";
"B4";"";"B-EU_B0805";"L0805";"EMI Filter";"";
"BTN_NXT/1";"WIREPAD2,15/1,0";"WIREPAD2,15/1,0";"2,15/1,0";"Wire PAD connect wire on PCB";"";
"BTN_RES/1";"WIREPAD2,15/1,0";"WIREPAD2,15/1,0";"2,15/1,0";"Wire PAD connect wire on PCB";"";
"BTN_SCT/1";"WIREPAD2,15/1,0";"WIREPAD2,15/1,0";"2,15/1,0";"Wire PAD connect wire on PCB";"";
"BT_RESET";"FactoryReset";"TASTER_SMD";"TASTER_SMD_LSG-LSH1301XX";"6.0 X 6.0mm TACT Switch (SMD) - Schurter Typ LSG/LSH 1301.xx";"";
"BUZZER1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"BUZZER2";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
"C1";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C7";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C10";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C11";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C12";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C13";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C14";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C15";"4u7";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C16";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C17";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C18";"15p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"15p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C21";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C22";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C23";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C24";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C25";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C26";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C27";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C28";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C29";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C30";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C31";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C32";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C33";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C34";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C35";"1u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C36";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C37";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C38";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C39";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C40";"10u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C41";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"PESD5V0S1UB";"DIODE-SOD523";"SOD523";"DIODE";"";
"DEBUG";"";"MA03-1";"MA03-1";"PIN HEADER";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"IC1";"STM32F401RET6";"STM32F401RET6";"QFP50P1200X1200X160-64N";"ARM Cortex-M4 32b MCU+FPU";"";
"IC2";"MCP1725-3302E/SN";"MCP1725-3302E/SN";"SOIC127P600X175-8N";"Low Quiescent Current LDO Regulator";"";
"J1";"";"USB-A3-0";"USB3_TYPE_A";"WR-COM  USB 3.0 HORIZONTAL TYPE A=>Code : Con_I-O_COM_USB-3.0_A_629121030100";"";
"J2";"";"USB-A3-0";"USB3_TYPE_A";"WR-COM  USB 3.0 HORIZONTAL TYPE A=>Code : Con_I-O_COM_USB-3.0_A_629121030100";"";
"LED1";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";
"LED2";"GREEN";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";
"LED3";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";
"NXT";"WIREPAD2,15/1,0";"WIREPAD2,15/1,0";"2,15/1,0";"Wire PAD connect wire on PCB";"";
"OK1";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";
"OK2";"PC817";"PC817";"DIL04";"SHARP OPTO COUPLER";"";
"Q1";"8MHz";"FOXSDLF_080-20";"FOXSDLF/080-20";"Crystal SMD 8.000MHz HC49S-SMD Crystal 8MHz, 30ppm, 2-Pin SMD, 11.7 x 5 x 4.5mm";"";
"R1";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R2";"330R";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R3";"100k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R4";"22k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R5";"47k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R6";"22k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R7";"1k5";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R8";"1k5";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R9";"330";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R10";"330";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R13";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
"R14";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";
